indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome_check,standard_outcome_check,checker_before,Time_Frame,conceptId,conceptName,domainId,outcome_id
18,NCT04716426,Number of Participants With Adverse Events,O1:50|O2:50,O1:17|O2:23,Tetracycline Hydrochloride 3%|Placebo,Adverse Events ,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: At the first day of the study ,45884383,Adverse event,Meas Value,outcome_12
19,NCT04716426,Average Number of Adverse Events,O1:50|O2:50,O1:0.65|O2:0.94,Tetracycline Hydrochloride 3%|Placebo,Adverse Events ,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: At the first day of the study ,45884383,Adverse event,Meas Value,outcome_12
20,NCT04716426,Days Over Which an Adverse Event Was Reported,O1:50|O2:50,O1:0.36|O2:0.28,Tetracycline Hydrochloride 3%|Placebo,Adverse Event,Adverse,"['Adverse', 'Adverse Event']",Time Frame: 24 hours ,45884383,Adverse event,Meas Value,outcome_18
21,NCT04716426,Other Virus or Bacteria Contamination Rate.,O1:50|O2:50,O1:0|O2:0,Tetracycline Hydrochloride 3%|Placebo,Virus or Bacteria Contamination Rate,Virus or Bacteria Contamination Rate,"['Virus or Bacteria Contamination Rate', 'Contamination Rate']",Time Frame: 0 to 24 hours post-dose ,42023572,Contamina,Geography,outcome_19
22,NCT04392141,Mortality Rate,O1:60|O2:60,O1:6|O2:1,Standard Treatment|Colchicine and Herbal Phenolic Monoterpene Fractions,Mortality Rate ,Death ,"['Mortality Rate', 'Mortality']",Time Frame: Up to and including day 28 ,4249566,Mortality rate,Observation,outcome_20
23,NCT04392141,SpO2,O1:60|O2:60,O1:87.39|O2:90.94|O1:92.89|O2:93.49,Standard Treatment|Colchicine and Herbal Phenolic Monoterpene Fractions,SpO2,SpO2,['SpO2'],Time Frame: Days 1 - 29. ,4096101,Measurement of oxygen saturation at periphery,Measurement,outcome_21
24,NCT04392141,Length of Hospitalization,O1:54|O2:59,O1:6.39|O2:4.17,Standard Treatment|Colchicine and Herbal Phenolic Monoterpene Fractions,Hospitalization ,Hospitalization,"['Hospitalization', 'hospitalization', 'Hospital']",Time Frame: Day 1 through Day 29 ,46236995,Hospital stay duration,Observation,outcome_22
25,NCT04392141,Lymphocyte Count,O1:60|O2:60,O1:1.19|O2:1.31|O1:1.17|O2:1.74,Standard Treatment|Colchicine and Herbal Phenolic Monoterpene Fractions,Lymphocyte Count,Lymphocyte Count,['Lymphocyte Count'],"Time Frame: Baseline, Day 15, Day 29 ",37393858,Lymphocyte count,Measurement,outcome_23
26,NCT04392141,Serum Lactate Dehydrogenase,O1:60|O2:60,O1:664.98|O2:680.27|O1:691.04|O2:542.94,Standard Treatment|Colchicine and Herbal Phenolic Monoterpene Fractions,Serum Lactate Dehydrogenase ,Lactate Dehydrogenase,['Serum Lactate Dehydrogenase'],Time Frame: 28 days ,37392192,Serum lactate dehydrogenase level,Measurement,outcome_24
27,NCT04474496,Personal Preventative Behaviors to Decrease Risk of COVID-19 Exposure,O1:117|O1:117|O1:117|O1:117|O1:117|O1:116|O1:117|O1:117|O1:117|O1:117|O1:117,O1:114|O1:112|O1:114|O1:109|O1:105|O1:113|O1:115|O1:113|O1:99|O1:114,Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.,Personal Preventative Behaviors to Decrease Risk of COVID-19 Exposure ,Personal Preventative Behaviors ,['Personal Preventative Behaviors to Decrease Risk of COVID-19 Exposure'],Time Frame: 14 days ,3655973,At increased risk of exposure to Severe acute respiratory syndrome coronavirus 2,Condition,outcome_25
28,NCT04474496,Workplace Preventative Actions to Decrease Risk of COVID-19 Exposure,O1:120,O1:27|O1:23|O1:73|O1:41|O1:58|O1:59|O1:31|O1:61|O1:41|O1:47|O1:5|O1:3,Marshallese Adults in the U.S.,Workplace Preventative Actions to Decrease Risk of COVID-19 Exposure ,Workplace Preventative,['Workplace Preventative Actions to Decrease Risk of COVID-19 Exposure'],Time Frame: 0 to 24 hours post dose ,37311061|4061660,COVID-19|Preventive procedure,Condition|Procedure,outcome_26
29,NCT04474496,Effects of COVID-19 on General Health Status,O1:119,O1:20|O1:74|O1:19|O1:6,Marshallese Adults in the U.S.,Effects of COVID-19 on General Health Status ,General Health Status ,"['Effect', 'Effects of COVID-19 on General Health Status']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",37311061,COVID-19,Condition,outcome_27
30,NCT04474496,Effects of COVID-19 on Access to Healthcare Services,O1:120,O1:20|O1:14|O1:20|O1:21|O1:53|O1:5,Marshallese Adults in the U.S.,Effects of COVID-19 on Access to Healthcare Services ,Access to Healthcare Services ,"['Effect', 'Effects of COVID-19 on Access to Healthcare Services']",Time Frame: Treatment period of 7 days (Day 1 to Day 8) ,37208126,Able to access healthcare services,Observation,outcome_28
31,NCT04474496,Effects of COVID-19 on Dietary Habits,O1:119,O1:25|O1:41|O1:30|O1:18|O1:5,Marshallese Adults in the U.S.,Effects of COVID-19 on Dietary Habits ,Dietary Habits ,"['Effects of COVID-19 on Dietary Habits', 'Effect']",Time Frame: Day 11 ,37311061,COVID-19,Condition,outcome_29
32,NCT04474496,Effects of COVID-19 on Physical Activity Behaviors (Not Specifically for Exercise),O1:119,O1:27|O1:52|O1:35|O1:5,Marshallese Adults in the U.S.,Effects of COVID-19 on Physical Activity Behaviors (Not Specifically for Exercise) ,Physical Activity Behaviors,"['Effect', 'Effects of COVID-19 on Physical Activity Behaviors (Not Specifically for Exercise)']",Time Frame: 14 days ,46235931,Physical activity behavior,Observation,outcome_30
33,NCT04474496,Effects of COVID-19 on Physical Activity Behaviors (Specifically for Exercise),O1:119,O1:17|O1:56|O1:37|O1:9,Marshallese Adults in the U.S.,Effects of COVID-19 on Physical Activity Behaviors (Specifically for Exercise) ,Physical Activity Behaviors,"['Effect', 'Effects of COVID-19 on Physical Activity Behaviors (Specifically for Exercise)']","Time Frame: From start of mechanical ventilation until extubation or date of death from any cause, whichever came first, assessed up to 6 months ",46235931,Physical activity behavior,Observation,outcome_31
34,NCT04474496,Effects of COVID-19 on Weight,O1:119,O1:30|O1:26|O1:34|O1:26|O1:3,Marshallese Adults in the U.S.,Effects of COVID-19 on Weight ,Weight ,"['Effects of COVID-19 on Weight', 'Effect']",Time Frame: 0 to 24 hours post-dose ,37311061,COVID-19,Condition,outcome_32
35,NCT04474496,Effects of COVID-19 on HbA1c (Glycated Hemoglobin),O1:13,O1:2|O1:5|O1:3|O1:3,Marshallese Adults in the U.S.,HbA1c (Glycated Hemoglobin),HbA1c,"['Effect', 'Hemoglobin', 'HbA1c (Glycated Hemoglobin)']",NA,37116827,Glycated hemoglobin-A1c,Observation,outcome_33
36,NCT04474496,Barriers to Type 2 Diabetes Management Due to COVID-19,O1:13,O1:2|O1:1|O1:1|O1:3|O1:0|O1:9,Marshallese Adults in the U.S.,Barriers to Type 2 Diabetes Management Due to COVID-19 ,Type 2 Diabetes,['Barriers to Type 2 Diabetes Management Due to COVID-19'],Time Frame: Pre-SSI to 3-month follow-up ,37311061,COVID-19,Condition,outcome_34
37,NCT04474496,COVID-19 Screening,O1:120,O1:9|O1:7|O1:45|O1:32|O1:27|O1:28|O1:6,Marshallese Adults in the U.S.,COVID-19 Screening ,Screening ,['COVID-19 Screening'],Time Frame: Baseline to Day 28 ,37311061,COVID-19,Condition,outcome_35
38,NCT04474496,COVID-19 Testing,O1:120,O1:20|O1:1|O1:6|O1:54|O1:33|O1:9,Marshallese Adults in the U.S.,COVID-19 Testing ,Testing ,['COVID-19 Testing'],Time Frame: 14 days ,1333309,COVID-19 Related Testing,Observation,outcome_36
39,NCT04474496,COVID-19 Vaccine Willingness/Hesitancy,O1:113,O1:39|O1:25|O1:8|O1:9|O1:32,Marshallese Adults in the U.S.,COVID-19 Vaccine Willingness/Hesitancy ,Vaccine Willingness/Hesitancy,['COVID-19 Vaccine Willingness/Hesitancy'],"Time Frame: Pre-SSI, Immediately Post-SSI ",1310132,"When a COVID-19 vaccine is available to you, how likely are you to get vaccinated?",Observation,outcome_37
40,NCT04474496,Trusted Sources of COVID-19 Information,O1:117,O1:12|O1:15|O1:1|O1:14|O1:4|O1:40|O1:17|O1:7|O1:1|O1:1|O1:1|O1:4,Marshallese Adults in the U.S.,Trusted Sources of COVID-19 Information ,Trusted Sources,['Trusted Sources of COVID-19 Information'],Time Frame: Immediately Post-SSI only ,44789760,Sources of information,Observation,outcome_38
41,NCT04474496,Effects of COVID-19 on Housing,O1:118,O1:3|O1:12|O1:4|O1:98|O1:1,Marshallese Adults in the U.S.,Effects of COVID-19 on Housing ,Housing ,"['Effect', 'Effects of COVID-19 on Housing']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",37311061,COVID-19,Condition,outcome_39
42,NCT04474496,Effects of COVID-19 on Employment,O1:120,O1:12|O1:13|O1:9|O1:27|O1:4|O1:23|O1:4|O1:27|O1:5,Marshallese Adults in the U.S.,Effects of COVID-19 on Employment ,Employment ,"['Effect', 'Effects of COVID-19 on Employment']",Time Frame: Day 1 through Day 29 ,1617412,New employment during the COVID-19 outbreak,Observation,outcome_40
43,NCT04474496,Effects of COVID-19 on Income,O1:119,O1:3|O1:66|O1:43|O1:7,Marshallese Adults in the U.S.,Effects of COVID-19 on Income ,Income ,"['Effect', 'Effects of COVID-19 on Income']",Time Frame: Day 12 ,37311061,COVID-19,Condition,outcome_41
44,NCT04474496,Sources of Stress During COVID-19,O1:120,O1:75|O1:90|O1:75|O1:79|O1:61|O1:75|O1:59|O1:24|O1:43|O1:32|O1:27|O1:47|O1:5|O1:1|O1:2,Marshallese Adults in the U.S.,Sources of Stress During COVID-19 ,Sources of Stress,['Sources of Stress During COVID-19'],"Time Frame: Day 1 (Baseline), Day 15 ",37311061,COVID-19,Condition,outcome_42
45,NCT04646109,Gender Distribution of the Patients,O1:30|O2:30,O1:19|O2:21|O1:11|O2:9,Control Group|Study Group,Gender,Gender,['Gender'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",4077869,Distribution pattern,Observation,outcome_43
46,NCT04646109,Age Distribution of the Patients,O1:30|O2:30,O1:66.23|O2:58.17,Control Group|Study Group,Age Distribution,Age Distribution,['Age Distribution'],Time Frame: At the first day of the study ,4265453,Age,Observation,outcome_44
47,NCT04646109,Percentage of Patients With Accompanying Diseases,O1:30|O2:30,O1:10|O2:9|O1:12|O2:15|O1:8|O2:5|O1:1|O2:0|O1:3|O2:6|O1:1|O2:0|O1:1|O2:0,Control Group|Study Group,Accompanying Diseases ,Accompanying Diseases ,['Accompanying Diseases'],Time Frame: Treatment period of 7 days (Day 1 to Day 8) ,433128,Complication,Condition,outcome_45
48,NCT04646109,Percentage of Patients With Baseline Clinical Symptoms,O1:30|O2:30,O1:13|O2:15|O1:14|O2:16|O1:1|O2:3|O1:19|O2:23|O1:2|O2:5|O1:11|O2:13|O1:7|O2:9|O1:0|O2:1|O1:0|O2:1,Control Group|Study Group,Clinical Symptoms ,Symptoms,"['Symptom', 'Clinical Symptoms']",Time Frame: Baseline ,46234710,Symptom,Observation,outcome_46
49,NCT04646109,Body Temperature Means of the Patients,O1:30|O2:30,O1:36.8|O2:36.9,Control Group|Study Group,Body Temperature,Body Temperature,['Body Temperature'],Time Frame: Baseline ,4302666,Body temperature,Measurement,outcome_47
50,NCT04646109,Heart Rate Means of the Patients,O1:30|O2:30,O1:92|O2:88,Control Group|Study Group,Heart Rate,Heart Rate,['Heart Rate'],Time Frame: Day 1 through Day 29 ,40769110,Heart rate 10 minutes mean [palpation],Measurement,outcome_48
51,NCT04646109,Respiratory Rate Means of the Patients,O1:30|O2:30,O1:24.7|O2:24,Control Group|Study Group,Respiratory Rate,Respiratory Rate,['Respiratory Rate'],Time Frame: Baseline to Day 29 ,4300739,Respiratory rate measurement assessment,Procedure,outcome_49
52,NCT04646109,Systolic and Diastolic Pressure Means of the Patients,O1:30|O2:30,O1:124.61|O2:124.39|O1:73.43|O2:75.64,Control Group|Study Group,Systolic and Diastolic Pressure,Blood Pressure,['Systolic and Diastolic Pressure'],Time Frame: 14 days ,40758413,Blood pressure systolic and diastolic,Measurement,outcome_50
53,NCT04646109,Number of Participants With Clinical Response,O1:30|O2:30,O1:11|O2:14,Control Group|Study Group,Clinical Response ,Clinical Response,['Clinical Response'],Time Frame: Baseline ,4323504,Clinical trial participant,Observation,outcome_51
54,NCT04646109,Changes in Oxygen Saturation (SpO2) Values,O1:30|O2:30,O1:89.67|O2:89.93|O1:90.50|O2:92.85|O1:91.90|O2:93.07|O1:93.00|O2:93.52,Control Group|Study Group,Oxygen Saturation (SpO2),SpO2,"['Oxygen', 'SpO2', 'Oxygen Saturation (SpO2)', 'Oxygen Saturation']",Time Frame: 28 days after randomization ,4196147,Peripheral oxygen saturation,Measurement,outcome_52
55,NCT04646109,Changes in the Ratio of Partial Pressure of Oxygen (PaO2) to Fraction of Inspired Oxygen (FiO2) (PaO2/FiO2),O1:30|O2:30,O1:197.44|O2:158.83|O1:181.83|O2:147.31|O1:174.77|O2:147.74|O1:180.13|O2:178.94,Control Group|Study Group,PaO2/FiO2,P/F Ratio,"['Oxygen', 'PaO2/FiO2']",Time Frame: 28 days after randomization ,4353936,Inspired oxygen concentration,Measurement,outcome_53
56,NCT04646109,Changes in Serum Lymphocyte Counts,O1:30|O2:30,O1:1010|O2:932|O1:1034|O2:928|O1:977|O2:1021|O1:968|O2:1273,Control Group|Study Group,Serum Lymphocyte Counts,Lymphocyte,"['Serum Lymphocyte Counts', 'Lymphocyte Count']",Time Frame: 28 days ,37393858,Lymphocyte count,Measurement,outcome_54
57,NCT04646109,Changes in the Ratio of Polymorphonuclear Leukocyte Count to Lymphocyte Count (PNL/L),O1:30|O2:30,O1:7.48|O2:8.77|O1:7.74|O2:10.82|O1:9.26|O2:9.02|O1:9.88|O2:7.16,Control Group|Study Group,PNL/L,PNL/L,"['PNL/L', 'Lymphocyte Count']",Time Frame: Anytime during pregnancy or within 6 months after given birth. ,4024539,Polymorphonuclear leukocyte count,Measurement,outcome_55
58,NCT04646109,Changes in Serum Ferritin Levels,O1:30|O2:30,O1:747.05|O2:682.75|O1:783.03|O2:834.94|O1:881.17|O2:875.90|O1:1028.24|O2:875.12,Control Group|Study Group,Serum Ferritin Levels ,Ferritin,"['Serum Ferritin Levels', 'Ferritin']",Time Frame: Baseline up to 60 days ,37397915,Serum ferritin level,Measurement,outcome_56
59,NCT04646109,Changes in Serum D-dimer Levels,O1:30|O2:30,O1:1.32|O2:1.25|O1:2.80|O2:1.40|O1:4.14|O2:3.24|O1:3.58|O2:5.85,Control Group|Study Group,Serum D-dimer Levels ,D-dimer,"['Serum D-dimer Levels', 'D-dimer']",Time Frame: Baseline up to 60 days ,37393605,D-dimer level,Measurement,outcome_57
60,NCT04646109,Genetic Examination of Haplotypes and Mutations That Cause Function Losing for Ivermectin Metabolism,O1:0|O2:36,O1:0|O2:6|O1:0|O2:30,Control Group|Study Group,Genetic Examination of Haplotypes and Mutations That Cause Function Losing for Ivermectin Metabolism ,Genetic Examination,['Genetic Examination of Haplotypes and Mutations That Cause Function Losing for Ivermectin Metabolism'],Time Frame: Day 1 through Day 29 ,4237017,Genetic test,Measurement,outcome_58
61,NCT04646109,Treatment-Related Adverse Events as Assessed by CTCAE v4.0,O1:30|O2:30,O1:2|O2:0|O1:1|O2:0,Control Group|Study Group,Adverse Events,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: 48 hours ,763788,National Cancer Institute common terminology criteria for adverse events,Measurement,outcome_59
62,NCT04646109,Mortality,O1:30|O2:30,O1:9|O2:6,Control Group|Study Group,Mortality ,Death ,['Mortality'],Time Frame: Baseline ,4249566,Mortality rate,Observation,outcome_60
63,NCT04646109,Rate of COVID-19 Polymerase Chain Reaction (PCR) Test Negativity,O1:8|O2:16,O1:3|O2:14,Control Group|Study Group,Polymerase Chain Reaction (PCR),PCR,['Polymerase Chain Reaction (PCR)'],Time Frame: Up to and including day 7 ,3667069,Detection of ribonucleic acid of Severe acute respiratory syndrome coronavirus 2 using polymerase chain reaction,Observation,outcome_61
64,NCT04542694,Rate of Clinical Status Improvement,O1:100|O2:100,O1:27|O2:15,Favipiravir (Areplivir)|Standard of Care,Improvement,Improvement,"['improvement', 'Improvement', 'Clinical Status']",Time Frame: 28 days ,4308350,Improvement of status,Observation,outcome_62
65,NCT04542694,Time to Clinical Improvement,O1:100|O2:100,O1:8|O2:12,Favipiravir (Areplivir)|Standard of Care,Improvement,Improvement,"['improvement', 'Improvement']",Time Frame: 28 days ,4138597,Clinical status,Observation,outcome_63
66,NCT04542694,Rate of Viral Elimination by Day 10,O1:100|O2:100,O1:98|O2:79,Favipiravir (Areplivir)|Standard of Care,Viral Elimination,Viral Clearance,['Viral Elimination'],Time Frame: Pre-SSI only ,4271038,Excretory function,Observation,outcome_64
67,NCT04542694,Time Before the End of Fever,O1:100|O2:100,O1:4|O2:5,Favipiravir (Areplivir)|Standard of Care,Fever ,Fever ,['Fever'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",21495022,Fever duration,Observation,outcome_65
68,NCT04542694,Change in the Level of Lung Damage According to CT,O1:100|O2:100,O1:60|O2:40,Favipiravir (Areplivir)|Standard of Care,Lung Damage,Lung Damage,['Lung Damage'],"Time Frame: Baseline, Day 15, Day 29 ",45884896,Lung Disease,Meas Value,outcome_66
69,NCT04542694,Rate of Transfer to the Intensive Care Unit,O1:100|O2:100,O1:0|O2:0,Favipiravir (Areplivir)|Standard of Care,Intensive Care,Intensive Care,['Intensive Care'],"Time Frame: Baseline, Minutes 5, 10, 15, 30 (15 minutes after treatment ends) ",4265599,Patient transfer to intensive care unit,Observation,outcome_67
70,NCT04542694,Rate of the Use of Non-invasive Lung Ventilation,O1:100|O2:100,O1:0|O2:0,Favipiravir (Areplivir)|Standard of Care,Non-invasive Lung Ventilation ,Non-invasive Lung Ventilation ,['Non-invasive Lung Ventilation'],Time Frame: One-month ,4177224,Noninvasive ventilation,Procedure,outcome_68
71,NCT04542694,Rate of the Use of Mechanical Ventilation,O1:100|O2:100,O1:0|O2:0,Favipiravir (Areplivir)|Standard of Care,Mechanical Ventilation ,Mechanical Ventilation ,"['mechanical Ventilation', 'Mechanical Ventilation']","Time Frame: from date of patient admission to date of patient discharge or date of death, whichever came first, assessed up to 45 days ",4230167,Artificial respiration,Procedure,outcome_69
72,NCT04542694,Mortality,O1:100|O2:100,O1:0|O2:0,Favipiravir (Areplivir)|Standard of Care,Mortality,Death ,['Mortality'],Time Frame: within 14 days after enrollement ,4249566,Mortality rate,Observation,outcome_70
73,NCT04401579,Time to Recovery,O1:515|O2:518,O1:7.0|O2:8.0,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Recovery,Recovery,"['Recovery', 'Time to Recovery']","Time Frame: Day 14, Chronic Phase ",31999,Recovered,Cost,outcome_71
74,NCT04401579,Change From Baseline in Alanine Transaminase (ALT),O1:491|O2:491|O1:491|O2:491|O1:407|O2:406|O1:268|O2:284|O1:187|O2:201|O1:250|O2:270|O1:256|O2:255,O1:3.3|O2:2.0|O1:16.8|O2:8.8|O1:7.9|O2:7.8|O1:0.0|O2:7.3|O1:5.0|O2:3.9|O1:-5.4|O2:2.3,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Alanine Transaminase (ALT),ALT,['Alanine Transaminase (ALT)'],Time Frame: From starting to the end of ivermectin therapy (0 to the end of 5th day) ,4095055,ALT - blood measurement,Measurement,outcome_72
75,NCT04401579,Change From Baseline in Aspartate Transaminase (AST),O1:486|O2:487|O1:486|O2:487|O1:404|O2:403|O1:265|O2:282|O1:185|O2:200|O1:246|O2:266|O1:251|O2:251,O1:3.1|O2:2.4|O1:27.4|O2:2.8|O1:-5.6|O2:-4.3|O1:-10.6|O2:6.4|O1:-6.0|O2:-3.9|O1:-17.1|O2:2.4,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Aspartate Transaminase (AST),AST,['Aspartate Transaminase (AST)'],Time Frame: At the first day of ivermectin therapy (1st day) ,4189605,Aspartate transaminase level,Condition,outcome_73
76,NCT04401579,Change From Baseline in Creatinine,O1:494|O2:495|O1:494|O2:495|O1:412|O2:410|O1:270|O2:285|O1:190|O2:202|O1:254|O2:273|O1:260|O2:257,O1:-0.036|O2:-0.019|O1:-0.078|O2:0.001|O1:-0.082|O2:0.129|O1:-0.055|O2:0.194|O1:-0.042|O2:0.094|O1:-0.034|O2:0.033,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Creatinine,Creatinine,['Creatinine'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",42593557,Urine creatinine increased,Condition,outcome_74
