Unnamed: 0,Unnamed: 0.1,nctid,CUI,standard_name,measure_type,measure_id,standard_measuer_id,conceptId,conceptName,domainId
44,78,NCT03708718,C0989226,Prednisolone 5 mg,Comparator,intervention_79,standard_inter_47,1550777,prednisolone 5 MG,Drug
45,79,NCT03708718,C0032042,Placebo,Comparator,intervention_80,standard_inter_4,44804245,Placebo,Observation
46,81,NCT03808922,C0032042,Placebo,Comparator,intervention_82,standard_inter_4,44804245,Placebo,Observation
47,85,NCT03808922,C0032042,Placebo,Comparator,intervention_86,standard_inter_4,44804245,Placebo,Observation
48,86,NCT03852537,0,Usual Care,Comparator,intervention_87,standard_inter_49,45882948,Usually,Meas Value
49,89,NCT03871491,C0032042,Placebo,Comparator,intervention_90,standard_inter_4,44804245,Placebo,Observation
50,91,NCT03891420,C0032042,Placebo,Comparator,intervention_92,standard_inter_4,44804245,Placebo,Observation
51,94,NCT03907891,0,Attention control,Comparator,intervention_95,standard_inter_55,4085655,Easily distracted,Condition
52,99,NCT03963622,C2936643,Standard of Care,Comparator,intervention_100,standard_inter_43,42078880,Standard,Geography
53,106,NCT04052607,0,LH Suppression,Comparator,intervention_107,standard_inter_61,4213738,Suppression,Observation
54,107,NCT04061382,0,Venepuncture,Comparator,intervention_108,standard_inter_62,4332170,Venipuncture,Procedure
55,108,NCT04061382,0,Oral fluid swab,Comparator,intervention_109,standard_inter_63,763155,Swab of fluid from vesicle,Specimen
56,109,NCT04061382,0,Venepuncture,Comparator,intervention_110,standard_inter_62,4332170,Venipuncture,Procedure
57,110,NCT04061382,0,Oral fluid swab,Comparator,intervention_111,standard_inter_63,763155,Swab of fluid from vesicle,Specimen
58,111,NCT04061382,0,Venepuncture,Comparator,intervention_112,standard_inter_62,4332170,Venipuncture,Procedure
59,112,NCT04061382,0,Oral fluid swab,Comparator,intervention_113,standard_inter_63,763155,Swab of fluid from vesicle,Specimen
60,114,NCT04107402,0,"Assessment of coagulopathy, Platelets activation and Platelets-Neutrophils interplay",Comparator,intervention_115,standard_inter_64,4016502,"Lupus anticoagulant assay, platelet neutralization method",Measurement
61,124,NCT04169542,C1882515,Questionnaire Administration,Comparator,intervention_125,standard_inter_66,44804112,Questionnaire,Observation
62,125,NCT04233268,0,Rapid Pathogen Detection,Comparator,intervention_126,standard_inter_67,4005184,Antigen assay,Measurement
63,126,NCT04233268,0,Rapid Pathogen Detection,Comparator,intervention_127,standard_inter_67,4005184,Antigen assay,Measurement
64,127,NCT04233268,0,Rapid Pathogen Detection,Comparator,intervention_128,standard_inter_67,4005184,Antigen assay,Measurement
65,130,NCT04244591,C2936643,Standard of Care,Comparator,intervention_131,standard_inter_43,42078880,Standard,Geography
66,132,NCT04245631,0,Recombinase aided amplification (RAA) assay,Comparator,intervention_133,standard_inter_69,35622943,Severe combined immunodeficiency due to complete RAG1 and/or RAG2 deficiency,Condition
67,134,NCT04247620,0,Peer Mentor Delivery,Comparator,intervention_135,standard_inter_71,45881935,Delivery,Meas Value
68,137,NCT04251767,C0032042,Placebo,Comparator,intervention_138,standard_inter_4,44804245,Placebo,Observation
69,139,NCT04251871,0,"Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir)",Comparator,intervention_140,standard_inter_74,4222408,Aerosol solution for inhalation,Observation
70,145,NCT04252664,C0032042,Placebo,Comparator,intervention_146,standard_inter_4,44804245,Placebo,Observation
71,147,NCT04252885,C0254211,Arbidol,Comparator,intervention_148,standard_inter_79,740560,carbidopa,Drug
72,159,NCT04257656,C0032042,Placebo,Comparator,intervention_160,standard_inter_4,44804245,Placebo,Observation
73,164,NCT04260594,0,basic treatment,Comparator,intervention_165,standard_inter_81,4061660,Preventive procedure,Procedure
74,170,NCT04261426,C2936643,Standard of Care,Comparator,intervention_171,standard_inter_43,42078880,Standard,Geography
75,174,NCT04261907,0,lopinavir/ritonavir group,Comparator,intervention_175,standard_inter_86,1748921,ritonavir,Drug
76,178,NCT04264533,C5203481,Sterile Water for Injection,Comparator,intervention_179,standard_inter_88,45956951,Water for injection,Observation
77,180,NCT04264858,0,γ-Globulin,Comparator,intervention_181,standard_inter_90,4219919,Globulin,Observation
78,183,NCT04268537,C2936643,Standard of Care,Comparator,intervention_184,standard_inter_43,42078880,Standard,Geography
79,191,NCT04273529,C0032042,Placebo,Comparator,intervention_192,standard_inter_4,44804245,Placebo,Observation
80,193,NCT04273581,C0032042,Placebo,Comparator,intervention_194,standard_inter_4,44804245,Placebo,Observation
81,196,NCT04273646,C0032042,Placebo,Comparator,intervention_197,standard_inter_4,44804245,Placebo,Observation
82,200,NCT04273763,C3853628,Granule,Comparator,intervention_201,standard_inter_73,46237115,Granules,Meas Value
83,201,NCT04273763,0,Recombinant Human Interferon α2b Spray,Comparator,intervention_202,standard_inter_95,35884381,Recombinant Human Insulin,Drug
84,202,NCT04274322,0,Nutrition support,Comparator,intervention_203,standard_inter_96,4132896,Nutritional support,Observation
85,203,NCT04274322,0,Nutrition support,Comparator,intervention_204,standard_inter_96,4132896,Nutritional support,Observation
86,205,NCT04275388,C1272883,Injection,Comparator,intervention_206,standard_inter_97,45882015,Injection,Meas Value
87,206,NCT04275388,C0939237,lopinavir / ritonavir,Comparator,intervention_207,standard_inter_98,40128015,lopinavir / ritonavir Oral Tablet,Drug
88,207,NCT04275388,C0939237,lopinavir / ritonavir,Comparator,intervention_208,standard_inter_98,40128015,lopinavir / ritonavir Oral Tablet,Drug
89,209,NCT04275947,0,"nCapp, a cell phone-based auto-diagnosis system",Comparator,intervention_210,standard_inter_100,45876336,None; diagnosed at autopsy,Meas Value
90,210,NCT04275947,0,"nCapp, a cell phone-based auto-diagnosis system",Comparator,intervention_211,standard_inter_100,45876336,None; diagnosed at autopsy,Meas Value
91,211,NCT04276688,0,Lopinavir/ritonavir,Comparator,intervention_212,standard_inter_15,1748921,ritonavir,Drug
92,212,NCT04276688,C0035525,Ribavirin,Comparator,intervention_213,standard_inter_101,1762711,ribavirin,Drug
93,213,NCT04276688,C0244713,Interferon Beta-1B,Comparator,intervention_214,standard_inter_102,713196,interferon beta-1b,Drug
94,214,NCT04276688,0,Lopinavir/ritonavir,Comparator,intervention_215,standard_inter_15,1748921,ritonavir,Drug
95,217,NCT04278404,C2936643,Standard of Care,Comparator,intervention_218,standard_inter_43,42078880,Standard,Geography
96,220,NCT04278963,0,YinHu QingWen Decoction(low dose),Comparator,intervention_221,standard_inter_106,41923416,Longwen District,Geography
97,221,NCT04278963,C2936643,Standard of Care,Comparator,intervention_222,standard_inter_43,42078880,Standard,Geography
98,222,NCT04278963,C0025123,chinese medicine,Comparator,intervention_223,standard_inter_107,37109821,Traditional Chinese Medicine,Procedure
99,223,NCT04278963,C2936643,Standard of Care,Comparator,intervention_224,standard_inter_43,42078880,Standard,Geography
100,227,NCT04279197,0,Vitamin C tablets,Comparator,intervention_228,standard_inter_109,19012004,ascorbic acid 10 MG Oral Tablet,Drug
101,228,NCT04279197,C0032042,Placebo,Comparator,intervention_229,standard_inter_4,44804245,Placebo,Observation
102,229,NCT04279197,C0220931,Training,Comparator,intervention_230,standard_inter_110,4040383,Functional training,Procedure
103,230,NCT04279782,0,Comprehensive treatment,Comparator,intervention_231,standard_inter_111,36310850,Comprehensive,Meas Value
104,231,NCT04279782,0,Comprehensive treatment,Comparator,intervention_232,standard_inter_111,36310850,Comprehensive,Meas Value
105,236,NCT04280705,C0032042,Placebo,Comparator,intervention_237,standard_inter_4,44804245,Placebo,Observation
106,238,NCT04280913,0,retrospective analysis,Comparator,intervention_239,standard_inter_114,4304991,Retrospective audit,Observation
107,241,NCT04282135,0,MCC IMS,Comparator,intervention_242,standard_inter_116,35949230,MCC (MCC regulator of WNT signaling pathway) gene variant measurement,Measurement
108,242,NCT04282135,0,MCC IMS,Comparator,intervention_243,standard_inter_116,35949230,MCC (MCC regulator of WNT signaling pathway) gene variant measurement,Measurement
109,243,NCT04282135,0,MCC IMS,Comparator,intervention_244,standard_inter_116,35949230,MCC (MCC regulator of WNT signaling pathway) gene variant measurement,Measurement
110,264,NCT04284046,0,CT score,Comparator,intervention_265,standard_inter_121,44777566,score,Unit
111,265,NCT04284046,0,CT score,Comparator,intervention_266,standard_inter_121,44777566,score,Unit
112,271,NCT04286503,C0254211,arbidol,Comparator,intervention_272,standard_inter_79,740560,carbidopa,Drug
113,272,NCT04286503,0,basic treatment,Comparator,intervention_273,standard_inter_81,4061660,Preventive procedure,Procedure
114,276,NCT04288102,0,Saline containing 1% Human serum albumin（solution without UC-MSCs�?Comparator,0,intervention_277,standard_inter_125,0,0,0
115,280,NCT04290871,C0028128,nitric oxide,Comparator,intervention_281,standard_inter_126,19020068,nitric oxide,Drug
116,291,NCT04292730,C2936643,Standard of Care,Comparator,intervention_292,standard_inter_43,42078880,Standard,Geography
117,303,NCT04293692,C0032042,Placebo,Comparator,intervention_304,standard_inter_4,44804245,Placebo,Observation
118,307,NCT04295551,0,Lopinavir/ritonavir treatment,Comparator,intervention_308,standard_inter_130,1748921,ritonavir,Drug
119,310,NCT04296643,0,N95 respirator,Comparator,intervention_311,standard_inter_132,45882738,Respiratory,Meas Value
120,313,NCT04298060,C0032042,Placebo,Comparator,intervention_314,standard_inter_4,44804245,Placebo,Observation
121,315,NCT04298060,C0032042,Placebo,Comparator,intervention_316,standard_inter_4,44804245,Placebo,Observation
122,319,NCT04299711,0,Exposed to the novel coronavirus disease 2019,Comparator,intervention_320,standard_inter_134,37311059,Exposure to SARS-CoV-2,Observation
123,320,NCT04299711,0,Exposed to the novel coronavirus disease 2019,Comparator,intervention_321,standard_inter_134,37311059,Exposure to SARS-CoV-2,Observation
124,321,NCT04299711,0,Exposed to the novel coronavirus disease 2019,Comparator,intervention_322,standard_inter_134,37311059,Exposure to SARS-CoV-2,Observation
125,322,NCT04299711,0,Exposed to the novel coronavirus disease 2019,Comparator,intervention_323,standard_inter_134,37311059,Exposure to SARS-CoV-2,Observation
126,336,NCT04303507,C0032042,Placebo,Comparator,intervention_337,standard_inter_4,44804245,Placebo,Observation
127,337,NCT04304053,C2936643,Standard of Care,Comparator,intervention_338,standard_inter_43,42078880,Standard,Geography
128,341,NCT04304690,0,blood sample,Comparator,intervention_342,standard_inter_141,1332781,Blood Sample,Observation
129,347,NCT04305574,0,Use of social media during COVID-19,Comparator,intervention_348,standard_inter_143,37311061,COVID-19,Condition
130,353,NCT04306497,0,TCM prescriptions,Comparator,intervention_354,standard_inter_146,40760937,Prescription list,Measurement
131,354,NCT04306497,0,TCM prescriptions,Comparator,intervention_355,standard_inter_146,40760937,Prescription list,Measurement
132,355,NCT04306705,C1609165,Tocilizumab,Comparator,intervention_356,standard_inter_19,40171288,tocilizumab,Drug
133,356,NCT04306705,C2936643,Standard of Care,Comparator,intervention_357,standard_inter_43,42078880,Standard,Geography
134,357,NCT04306705,C2936643,Standard of Care,Comparator,intervention_358,standard_inter_43,42078880,Standard,Geography
135,358,NCT04306705,C3649547,Continuous renal replacement therapy,Comparator,intervention_359,standard_inter_147,37018292,Continuous renal replacement therapy,Procedure
136,359,NCT04306705,C2936643,Standard of Care,Comparator,intervention_360,standard_inter_43,42078880,Standard,Geography
137,360,NCT04307459,C2936643,Standard of Care,Comparator,intervention_361,standard_inter_43,42078880,Standard,Geography
138,362,NCT04307693,C0020336,hydroxychloroquine,Comparator,intervention_363,standard_inter_16,1777087,hydroxychloroquine,Drug
139,367,NCT04308668,C0032042,Placebo,Comparator,intervention_368,standard_inter_4,44804245,Placebo,Observation
140,369,NCT04310228,C1138226,Favipiravir,Comparator,intervention_370,standard_inter_149,32765,Favipiravir,Drug
141,370,NCT04310228,C1609165,Tocilizumab,Comparator,intervention_371,standard_inter_19,40171288,tocilizumab,Drug
142,373,NCT04310865,C2945618,yin,Comparator,intervention_374,standard_inter_151,4167440,Yintang,Spec Anatomic Site
143,374,NCT04310865,C2936643,Standard of Care,Comparator,intervention_375,standard_inter_43,42078880,Standard,Geography
144,376,NCT04311177,C0032042,Placebo,Comparator,intervention_377,standard_inter_4,44804245,Placebo,Observation
145,377,NCT04311398,0,New QIAstat-Dx fully automatic multiple PCR detection platform,Comparator,intervention_378,standard_inter_153,4093115,Static platform test,Procedure
146,381,NCT04312009,C0032042,Placebo,Comparator,intervention_382,standard_inter_4,44804245,Placebo,Observation
147,382,NCT04312100,0,oxygen treatment,Comparator,intervention_383,standard_inter_154,36308111,Oxygen,Meas Value
148,383,NCT04312100,0,oxygen treatment,Comparator,intervention_384,standard_inter_154,36308111,Oxygen,Meas Value
149,384,NCT04312100,0,oxygen treatment,Comparator,intervention_385,standard_inter_154,36308111,Oxygen,Meas Value
150,387,NCT04312464,0,non,Comparator,intervention_388,standard_inter_155,45878582,None,Meas Value
151,388,NCT04312464,0,non,Comparator,intervention_389,standard_inter_155,45878582,None,Meas Value
152,390,NCT04312997,C0032042,Placebo,Comparator,intervention_391,standard_inter_4,44804245,Placebo,Observation
153,392,NCT04313023,C0032042,Placebo,Comparator,intervention_393,standard_inter_4,44804245,Placebo,Observation
154,397,NCT04313946,0,Scanning Chest X-rays and performing AI algorithms on images,Comparator,intervention_398,standard_inter_159,45876814,Chest x-ray,Meas Value
155,398,NCT04314817,0,Any drug used to treat Covid-19,Comparator,intervention_399,standard_inter_160,37311061,COVID-19,Condition
156,410,NCT04315896,C0020336,Hydroxychloroquine,Comparator,intervention_411,standard_inter_16,1777087,hydroxychloroquine,Drug
157,411,NCT04315896,C0032042,Placebo,Comparator,intervention_412,standard_inter_4,44804245,Placebo,Observation
158,421,NCT04315948,C2936643,Standard of Care,Comparator,intervention_422,standard_inter_43,42078880,Standard,Geography
159,424,NCT04315948,C2936643,Standard of Care,Comparator,intervention_425,standard_inter_43,42078880,Standard,Geography
160,425,NCT04315948,C0032042,Placebo,Comparator,intervention_426,standard_inter_4,44804245,Placebo,Observation
161,427,NCT04315987,C0032042,Placebo,Comparator,intervention_428,standard_inter_4,44804245,Placebo,Observation
162,430,NCT04316377,C0596007,Hydroxychloroquine Sulfate,Comparator,intervention_431,standard_inter_164,40184083,hydroxychloroquine sulfate 200 MG,Drug
163,432,NCT04316728,0,VivaDiag�?COVID-19 lgM/IgG Rapid Test,Comparator,intervention_433,standard_inter_165,0,0,0
164,437,NCT04317040,C0032042,Placebo,Comparator,intervention_438,standard_inter_4,44804245,Placebo,Observation
165,440,NCT04318015,C0032042,Placebo,Comparator,intervention_441,standard_inter_4,44804245,Placebo,Observation
166,442,NCT04318015,C0032042,Placebo,Comparator,intervention_443,standard_inter_4,44804245,Placebo,Observation
167,445,NCT04318314,0,COPAN swabbing and blood sample collection,Comparator,intervention_446,standard_inter_168,4046835,Cord blood specimen,Specimen
168,446,NCT04318366,0,Observational Study,Comparator,intervention_447,standard_inter_169,3018493,Anoscopy Study observation,Measurement
169,449,NCT04318431,0,Data collection and rhinopharyngeal swab,Comparator,intervention_450,standard_inter_170,43021097,Swab from pharynx,Specimen
170,451,NCT04318444,C0032042,Placebo,Comparator,intervention_452,standard_inter_4,44804245,Placebo,Observation
171,452,NCT04319211,0,"Determination of physical activity, quality of life, stress levels of isolated people at home with the danger of coronavirus.",Comparator,intervention_453,standard_inter_171,46286582,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 14 score - activities of daily living at home,Observation
172,457,NCT04319900,C0032042,Placebo,Comparator,intervention_458,standard_inter_4,44804245,Placebo,Observation
173,458,NCT04320017,0,"Electrocardiogram, transthoracic echocardiography and clinico-biological parameters in routine care",Comparator,intervention_459,standard_inter_174,4335825,Transthoracic echocardiography,Procedure
174,459,NCT04320056,C2936643,Standard of Care,Comparator,intervention_460,standard_inter_43,42078880,Standard,Geography
175,465,NCT04320277,C4044947,Baricitinib,Comparator,intervention_466,standard_inter_178,1510627,baricitinib,Drug
176,466,NCT04320472,0,Follow up,Comparator,intervention_467,standard_inter_179,3007657,Physician follow up [Identifier],Observation
177,467,NCT04320511,0,CT-V,Comparator,intervention_468,standard_inter_180,41918833,Mont-Valin,Geography
178,469,NCT04320615,C0032042,Placebo,Comparator,intervention_470,standard_inter_4,44804245,Placebo,Observation
179,470,NCT04320732,0,Observation of behavior and COVID-19 infection will be conducted.,Comparator,intervention_471,standard_inter_181,4021180,Observation of behavior,Observation
180,471,NCT04320732,0,Observation of behavior and COVID-19 infection will be conducted.,Comparator,intervention_472,standard_inter_181,4021180,Observation of behavior,Observation
181,472,NCT04320732,0,Observation of behavior and COVID-19 infection will be conducted.,Comparator,intervention_473,standard_inter_181,4021180,Observation of behavior,Observation
182,473,NCT04320732,0,Observation of behavior and COVID-19 infection will be conducted.,Comparator,intervention_474,standard_inter_181,4021180,Observation of behavior,Observation
183,474,NCT04320732,0,Observation of behavior and COVID-19 infection will be conducted.,Comparator,intervention_475,standard_inter_181,4021180,Observation of behavior,Observation
184,477,NCT04321096,C0032042,Placebo,Comparator,intervention_478,standard_inter_4,44804245,Placebo,Observation
185,482,NCT04321278,C0020336,Hydroxychloroquine,Comparator,intervention_483,standard_inter_16,1777087,hydroxychloroquine,Drug
186,484,NCT04321616,0,Remdesivir,Comparator,intervention_485,standard_inter_77,37499271,remdesivir,Drug
187,485,NCT04321616,C2936643,Standard of Care,Comparator,intervention_486,standard_inter_43,42078880,Standard,Geography
188,486,NCT04321616,C0020336,Hydroxychloroquine,Comparator,intervention_487,standard_inter_16,1777087,hydroxychloroquine,Drug
189,487,NCT04321616,C2936643,Standard of Care,Comparator,intervention_488,standard_inter_43,42078880,Standard,Geography
190,488,NCT04321616,C0020336,Hydroxychloroquine,Comparator,intervention_489,standard_inter_16,1777087,hydroxychloroquine,Drug
191,489,NCT04321616,0,Remdesivir,Comparator,intervention_490,standard_inter_77,37499271,remdesivir,Drug
192,490,NCT04321811,0,"Observation of patients with known, suspected, or at risk for COVID-19 infection",Comparator,intervention_491,standard_inter_185,703445,Low risk category for developing complication from COVID-19 infection,Condition
193,491,NCT04321928,0,General health education,Comparator,intervention_492,standard_inter_186,4054945,Oral health education,Procedure
194,492,NCT04321928,0,Personalized health education,Comparator,intervention_493,standard_inter_187,44803962,Health education,Observation
195,502,NCT04322344,C2936643,Standard of Care,Comparator,intervention_503,standard_inter_43,42078880,Standard,Geography
196,505,NCT04322396,C0032042,Placebo,Comparator,intervention_506,standard_inter_4,44804245,Placebo,Observation
197,506,NCT04322396,C0032042,Placebo,Comparator,intervention_507,standard_inter_4,44804245,Placebo,Observation
198,507,NCT04322396,0,Azithromycin,Comparator,intervention_508,standard_inter_51,1734104,azithromycin,Drug
199,508,NCT04322396,C0020336,Hydroxychloroquine,Comparator,intervention_509,standard_inter_16,1777087,hydroxychloroquine,Drug
200,509,NCT04322513,0,Biomarkers expression,Comparator,intervention_510,standard_inter_190,4001738,Expression,Procedure
201,510,NCT04322513,0,Biomarkers expression,Comparator,intervention_511,standard_inter_190,4001738,Expression,Procedure
202,513,NCT04322682,C0009262,Colchicine,Comparator,intervention_514,standard_inter_191,1101554,colchicine,Drug
203,514,NCT04322682,C0032042,Placebo,Comparator,intervention_515,standard_inter_4,44804245,Placebo,Observation
204,521,NCT04322773,C2936643,Standard of Care,Comparator,intervention_522,standard_inter_43,42078880,Standard,Geography
205,522,NCT04322786,0,ACE inhibitor,Comparator,intervention_523,standard_inter_194,42536027,Renin inhibitor,Observation
206,525,NCT04323228,C0032042,Placebo,Comparator,intervention_526,standard_inter_4,44804245,Placebo,Observation
207,530,NCT04323345,C2936643,Standard of Care,Comparator,intervention_531,standard_inter_43,42078880,Standard,Geography
208,532,NCT04323527,0,Chloroquine diphosphate,Comparator,intervention_533,standard_inter_198,40241956,chloroquine phosphate 500 MG,Drug
209,533,NCT04323527,0,Chloroquine diphosphate,Comparator,intervention_534,standard_inter_198,40241956,chloroquine phosphate 500 MG,Drug
210,534,NCT04323527,0,Chloroquine diphosphate,Comparator,intervention_535,standard_inter_198,40241956,chloroquine phosphate 500 MG,Drug
211,535,NCT04323527,0,Chloroquine diphosphate,Comparator,intervention_536,standard_inter_198,40241956,chloroquine phosphate 500 MG,Drug
212,536,NCT04323592,C0025815,Methylprednisolone,Comparator,intervention_537,standard_inter_50,1506270,methylprednisolone,Drug
213,537,NCT04323592,C2936643,Standard of Care,Comparator,intervention_538,standard_inter_43,42078880,Standard,Geography
214,538,NCT04323592,C2936643,Standard of Care,Comparator,intervention_539,standard_inter_43,42078880,Standard,Geography
215,540,NCT04323631,C0020336,hydroxychloroquine,Comparator,intervention_541,standard_inter_16,1777087,hydroxychloroquine,Drug
216,541,NCT04323644,0,Surgery,Comparator,intervention_542,standard_inter_199,45884525,Surgery,Meas Value
217,542,NCT04323787,0,observational,Comparator,intervention_543,standard_inter_200,1147304,observation,Metadata
218,544,NCT04323800,0,SARS-CoV-2 non-immune Plasma,Comparator,intervention_545,standard_inter_201,37311065,SARS-CoV-2,Observation
219,545,NCT04323839,0,Pregnant women under investigation for Coronavirus or diagnosed with COVID-19,Comparator,intervention_546,standard_inter_202,1617407,Medical history for preventive vaccination against COVID-19 (Coronavirus Disease 2019) - with mRNA vaccine,Measurement
220,546,NCT04323839,0,Postpartum women under investigation for Coronavirus or diagnosed with COVID-19,Comparator,intervention_547,standard_inter_203,1617407,Medical history for preventive vaccination against COVID-19 (Coronavirus Disease 2019) - with mRNA vaccine,Measurement
221,547,NCT04324021,0,Emapalumab,Comparator,intervention_548,standard_inter_204,1355650,emapalumab,Drug
222,548,NCT04324021,C0245109,Anakinra,Comparator,intervention_549,standard_inter_18,1114375,anakinra,Drug
223,553,NCT04324190,0,Guided online support program,Comparator,intervention_554,standard_inter_205,21492411,Education program online access code,Observation
224,554,NCT04324190,0,WHO recommendations (waiting condition),Comparator,intervention_555,standard_inter_206,4082542,Recommendation to rest,Procedure
225,563,NCT04324528,0,vv-ECMO only (no cytokine adsorption),Comparator,intervention_564,standard_inter_210,4140506,Immune adsorption,Observation
226,565,NCT04324606,C2003457,MenACWY,Comparator,intervention_566,standard_inter_212,37207518,Meningitis ACW and Y vaccination not done,Observation
227,571,NCT04324606,C2003457,MenACWY,Comparator,intervention_572,standard_inter_212,37207518,Meningitis ACW and Y vaccination not done,Observation
228,574,NCT04324606,C2003457,MenACWY,Comparator,intervention_575,standard_inter_212,37207518,Meningitis ACW and Y vaccination not done,Observation
229,576,NCT04324606,C2003457,MenACWY,Comparator,intervention_577,standard_inter_212,37207518,Meningitis ACW and Y vaccination not done,Observation
230,582,NCT04324606,C2003457,MenACWY,Comparator,intervention_583,standard_inter_212,37207518,Meningitis ACW and Y vaccination not done,Observation
