index,nctid,Intervention_type,huage_did,CUI,standard_intervention,I/C ,intervention_id,“+”：has_significant；“-”：no_difference,standard_indicator,outcome_id
68,NCT04542694,Drug,Favipiravir (Areplivir),C5392771,Avigan,I,intervention_7,-,Lung Damage,outcome_66
69,NCT04542694,Drug,Favipiravir (Areplivir),C5392771,Avigan,I,intervention_7,-,Intensive Care,outcome_67
70,NCT04542694,Drug,Favipiravir (Areplivir),C5392771,Avigan,I,intervention_7,-,Non-invasive Lung Ventilation ,outcome_68
71,NCT04542694,Drug,Favipiravir (Areplivir),C5392771,Avigan,I,intervention_7,-,Mechanical Ventilation ,outcome_69
72,NCT04542694,Drug,Favipiravir (Areplivir),C5392771,Avigan,I,intervention_7,-,Death ,outcome_70
100,NCT04401579,Drug,Remdesivir+Baricitinib,C4044947,Remdesivir+Baricitinib,I,intervention_8,-,Ordinal Scale,outcome_98
139,NCT04280705,Drug,Remdesivir,,Remdesivir,I,intervention_9,-,Adverse,outcome_87
157,NCT04329923,Drug,Hydroxychloroquine Sulfate 400 mg twice a day,C0020336,HCQ,I,intervention_11,-,Release,outcome_139
199,NCT04331899,Drug,Study drug Peginterferon Lambda-1a,C4043002,Peginterferon Lambda-1a,I,intervention_19,-,Viral Clearance,outcome_168
200,NCT04331899,Drug,Study drug Peginterferon Lambda-1a,C4043002,Peginterferon Lambda-1a,I,intervention_19,-,Viral Load,outcome_169
201,NCT04331899,Drug,Study drug Peginterferon Lambda-1a,C4043002,Peginterferon Lambda-1a,I,intervention_19,-,Viral Load,outcome_170
202,NCT04331899,Drug,Study drug Peginterferon Lambda-1a,C4043002,Peginterferon Lambda-1a,I,intervention_19,-,Resolution of Symptoms,outcome_171
205,NCT04292899,Drug,Remdesivir,,Remdesivir,I,intervention_20,-,Adverse,outcome_174
208,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Ordinal Scale,outcome_176
210,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Improvement,outcome_178
212,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Mechanical Ventilation,outcome_138
213,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Ventilator-free,outcome_151
216,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Ordinal Scale,outcome_176
217,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Time,outcome_182
218,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Death ,outcome_137
219,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Recovery,outcome_183
328,NCT04356937,Drug,Tocilizumab,C1609165,Tocilizumab,I,intervention_56,-,Death ,outcome_274
329,NCT04356937,Drug,Tocilizumab,C1609165,Tocilizumab,I,intervention_56,-,Ordinal Scale,outcome_275
330,NCT04356937,Drug,Tocilizumab,C1609165,Tocilizumab,I,intervention_56,-,Oxygen,outcome_276
372,NCT04898166,,Hydroxychloroquine,C0020336,HCQ,I,intervention_68,-,Androgenetic Alopecia,outcome_302
468,NCT04327388,Drug,Sarilumab SAR153191,C4519528,SAR153191,I,intervention_87,-,Improvement,outcome_218
469,NCT04327388,Drug,Sarilumab SAR153191,C4519528,SAR153191,I,intervention_87,-,Alive,outcome_370
470,NCT04327388,Drug,Sarilumab SAR153191,C4519528,SAR153191,I,intervention_87,-,Improvement,outcome_371
509,NCT04308668,Drug,Hydroxychloroquine,C0020336,HCQ,I,intervention_90,-,Active COVID-19 Disease at Day 15,outcome_398
510,NCT04308668,Drug,Hydroxychloroquine,C0020336,HCQ,I,intervention_90,-,Disease Severity,outcome_399
