index,nctid,conditions,MTI_condition,DUI,TUI,conceptId,conceptName,domainId,condition_id
51,NCT03452774,Cancer of Colon,Colon,D003106,T009048,4085147,Microcolon,Condition,condition_45
52,NCT03452774,Cancer of Larynx,Larynx,D007830,T023391,4090905,Absence of larynx,Condition,condition_46
53,NCT03452774,"Cancer, Lung",Lung,D008168,T024344,4203096,Lung mass,Condition,condition_47
54,NCT03452774,"Cancer, Breast",Breast,D001940,T005532,4128167,Red breast,Condition,condition_48
55,NCT03452774,"Cancer, Advanced",Neoplasms,D009369,T027926,438112,Neoplastic disease,Condition,condition_49
56,NCT03452774,Cancer Prostate,Prostate,D011467,T033876,194997,Prostatitis,Condition,condition_50
57,NCT03452774,Cancer of Neck,Neck,D009333,T027844,4098029,Necking,Condition,condition_51
58,NCT03452774,Cancer of Skin,Skin,D012867,T037933,4066849,Skin tag,Condition,condition_52
59,NCT03452774,Neuroendocrine Tumors,Neuroendocrine Tumors,D018358,T054763,434300,Neuroendocrine tumor,Condition,condition_53
60,NCT03452774,Carcinoma,Carcinoma,D002277,T006549,3176938,Carcinoma,Condition,condition_54
61,NCT03452774,Mismatch Repair Deficiency,DNA Mismatch Repair,D053843,T671082,764459,DNA mismatch repair,Condition,condition_55
62,NCT03452774,BRCA Gene Rearrangement,"Genes, BRCA2",D024522,T425873,4135411,BRCA2 gene mutation positive,Condition,condition_56
63,NCT03452774,Non Hodgkin Lymphoma,"Lymphoma, Non-Hodgkin",D008228,T024518,4038838,Non-Hodgkin's lymphoma (clinical),Condition,condition_57
64,NCT03452774,Leukemia,Leukemia,D007938,T023645,317510,Leukemia,Condition,condition_58
65,NCT03452774,Non Small Cell Lung Cancer,"Carcinoma, Non-Small-Cell Lung",D002289,T006593,42512718,"Non-small cell carcinoma of cardia, NOS",Condition,condition_59
66,NCT03452774,Cholangiocarcinoma,Cholangiocarcinoma,D018281,T054584,4208660,Cholangiocarcinoma of biliary tract,Condition,condition_60
67,NCT03452774,Glioblastoma,Glioblastoma,D005909,T017872,40571980,Glioblastoma multiforme,Condition,condition_61
68,NCT03452774,Central Nervous System Tumor,Central Nervous System Neoplasms,D016543,T049500,4131770,Neoplasm of central nervous system,Condition,condition_62
69,NCT03452774,Melanoma,Melanoma,D008545,T025424,42596197,Melanoma,Condition,condition_63
70,NCT03452774,Urothelial Carcinoma,"Carcinoma, Transitional Cell",D002295,T006607,36563072,"Transitional cell carcinoma, NOS, of anal canal",Condition,condition_64
71,NCT03452774,Bladder Cancer,Urinary Bladder,D001743,T653367,40488878,Small calculus particles in urinary bladder,Condition,condition_65
72,NCT03452774,Ovarian Cancer,"Carcinoma, Ovarian Epithelial",D000077216,T000939019,36533456,Myoepithelial carcinoma of ovary,Condition,condition_66
73,NCT03452774,Endometrial Cancer,Endometrial Neoplasms,D016889,T050561,36715805,Benign endometrial stromal neoplasm,Condition,condition_67
74,NCT03452774,Testicular Cancer,Testicular Germ Cell Tumor,C563236,T802467,4294433,Germ cell tumor,Condition,condition_68
75,NCT03452774,Breast Cancer,Breast Neoplasms,D001943,T005543,81251,Neoplasm of breast,Condition,condition_69
76,NCT03452774,COVID,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_70
77,NCT03452774,Myelofibrosis,Primary Myelofibrosis,D055728,T716894,140064,Myelosclerosis with myeloid metaplasia,Condition,condition_71
78,NCT03452774,Myeloproliferative Neoplasm,Myeloproliferative Disorders,D009196,T027431,4175485,Myeloproliferative disorder,Condition,condition_72
79,NCT03452774,Myeloproliferative Disorders,Myeloproliferative Disorders,D009196,T027431,4175485,Myeloproliferative disorder,Condition,condition_73
80,NCT03452774,Follicular Lymphoma,"Lymphoma, Follicular",D008224,T024497,4002357,"Follicular non-Hodgkin's lymphoma, small cleaved cell (clinical)",Condition,condition_74
81,NCT03452774,Mantle Cell Lymphoma,"Lymphoma, Mantle-Cell",D020522,T358571,40481901,Mantle cell lymphoma,Condition,condition_75
82,NCT03452774,Marginal Zone Lymphoma,"Lymphoma, B-Cell, Marginal Zone",D018442,T688321,44502420,"Marginal zone B-cell lymphoma, NOS, of tonsil, NOS",Condition,condition_76
83,NCT03452774,Myelodysplastic Syndromes,Myelodysplastic Syndromes,D009190,T027415,138994,Myelodysplastic syndrome (clinical),Condition,condition_77
84,NCT03474965,Sickle Cell Disease (SCD),"Anemia, Sickle Cell",D000755,T002256,22281,Sickle cell-hemoglobin SS disease,Condition,condition_78
85,NCT03680274,Sepsis,Sepsis,D018805,T056029,132797,Sepsis,Condition,condition_79
86,NCT03680274,Vitamin C,Ascorbic Acid,D001205,T003591,4035839,Increased ascorbic acid,Condition,condition_80
87,NCT03680274,Intensive Care Unit,Intensive Care Units,D007362,T022065,764528,Post intensive care unit syndrome,Condition,condition_81
88,NCT03680274,COVID-19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_5
89,NCT03680274,Pandemic,Pandemics,D058873,T658151,4297396,Tic,Condition,condition_82
90,NCT03680274,Coronavirus,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_83
91,NCT03708718,Systemic Sclerosis,Sclerosis,D012598,T037325,4185187,Systemic sclerosis with limited cutaneous involvement,Condition,condition_84
92,NCT03738774,Post Intensive Care Syndrome,postintensive care syndrome,C000657744,T001010050,764528,Post intensive care unit syndrome,Condition,condition_85
93,NCT03808922,Lower Respiratory Tract Infection,Respiratory Tract Infections,D012141,T036165,4170143,Respiratory tract infection,Condition,condition_86
94,NCT03808922,Parainfluenza,Paramyxoviridae Infections,D018184,T054433,4023319,Disease due to Paramyxoviridae,Condition,condition_87
95,NCT03808922,Immunocompromised,Immunocompromised Host,D016867,T050499,4153516,Patient immunocompromised,Condition,condition_88
96,NCT03808922,COVID-19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_5
97,NCT03852537,Pneumonia,Pneumonia,D011014,T032393,255848,Pneumonia,Condition,condition_89
98,NCT03871491,Maternal Death,Maternal Death,D063130,T818731,435886,Maternal distress,Condition,condition_90
99,NCT03871491,Maternal Infections Affecting Fetus or Newborn,Fetus,D005333,T016282,4183454,Fetus in fetu,Condition,condition_91
100,NCT03871491,Neonatal SEPSIS,Neonatal Sepsis,D000071074,T000892598,133594,Bacterial sepsis of newborn,Condition,condition_92
101,NCT03871491,Maternal Sepsis During Labor,"Pregnancy Complications, Infectious",D011251,T033146,4146482,Urinary tract infection in pregnancy,Condition,condition_93
102,NCT03871491,Neonatal Death,Perinatal Death,D066087,T856631,4187201,Perinatal disorder,Condition,condition_94
103,NCT03871491,Postpartum Sepsis,Puerperal Infection,D011645,T034379,45768620,Genital tract infection in puerperium,Condition,condition_95
104,NCT03891420,COVID-19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_5
105,NCT03891420,Yellow Fever,Yellow Fever,D015004,T043787,441210,Yellow fever,Condition,condition_96
106,NCT03907891,Ischemic Heart Disease,Myocardial Ischemia,D017202,T051288,4186397,Myocardial ischemia,Condition,condition_97
107,NCT03907891,Hopelessness,Self Concept,D012649,T037439,4274636,Self-esteem disturbance,Condition,condition_98
108,NCT03907891,Physical Activity,Exercise,D015444,T045599,4029810,Exercise state,Condition,condition_99
109,NCT03907891,Motivation,Motivation,D009042,T027017,4275285,Normal motivation,Condition,condition_100
110,NCT03907891,Social Support,Social Support,D012944,T038117,4032662,Social interaction finding,Condition,condition_101
111,NCT03907891,Covid19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_10
112,NCT03944447,Chronic Pain,Chronic Pain,D059350,T778527,436096,Chronic pain,Condition,condition_102
113,NCT03944447,Chronic Pain Syndrome,Chronic Pain,D059350,T778527,436096,Chronic pain,Condition,condition_103
114,NCT03944447,Chronic Pain Due to Injury,Chronic Pain,D059350,T778527,436096,Chronic pain,Condition,condition_104
115,NCT03944447,Chronic Pain Due to Trauma,Chronic Pain,D059350,T778527,436096,Chronic pain,Condition,condition_105
116,NCT03944447,Fibromyalgia,Fibromyalgia,D005356,T016350,40405599,Fibromyalgia,Condition,condition_106
117,NCT03944447,Seizures,Seizures,D012640,T037409,377091,Seizure,Condition,condition_107
118,NCT03944447,Hepatitis C,Hepatitis C,D006526,T019683,197494,Viral hepatitis C,Condition,condition_108
119,NCT03944447,Cancer,Neoplasms,D009369,T027926,438112,Neoplastic disease,Condition,condition_25
120,NCT03944447,Crohn Disease,Crohn Disease,D003424,T009957,201606,Crohn's disease,Condition,condition_109
121,NCT03944447,HIV/AIDS,Acquired Immunodeficiency Syndrome,D000163,T000474,4267414,AIDS,Condition,condition_110
122,NCT03944447,Multiple Sclerosis,Multiple Sclerosis,D009103,T027212,374919,Multiple sclerosis,Condition,condition_111
123,NCT03944447,Traumatic Brain Injury,"Brain Injuries, Traumatic",D000070642,T366349,4132546,Traumatic brain injury,Condition,condition_112
124,NCT03944447,Sickle Cell Disease,"Anemia, Sickle Cell",D000755,T002256,22281,Sickle cell-hemoglobin SS disease,Condition,condition_113
125,NCT03944447,Post Traumatic Stress Disorder,"Stress Disorders, Post-Traumatic",D013313,T039096,436676,Posttraumatic stress disorder,Condition,condition_114
126,NCT03944447,Tourette Syndrome,Tourette Syndrome,D005879,T017781,379782,Gilles de la Tourette's syndrome,Condition,condition_115
127,NCT03944447,Ulcerative Colitis,"Colitis, Ulcerative",D003093,T008976,81893,Ulcerative colitis,Condition,condition_116
128,NCT03944447,Glaucoma,Glaucoma,D005901,T017836,437541,Glaucoma,Condition,condition_117
129,NCT03944447,Epilepsy,Epilepsy,D004827,T014710,380378,Epilepsy,Condition,condition_118
130,NCT03944447,Inflammatory Bowel Diseases,Inflammatory Bowel Diseases,D015212,T044480,4074815,Inflammatory bowel disease,Condition,condition_119
131,NCT03944447,Parkinson Disease,Parkinson Disease,D010300,T030420,381270,Parkinson's disease,Condition,condition_120
132,NCT03944447,Amyotrophic Lateral Sclerosis,Amyotrophic Lateral Sclerosis,D000690,T002090,373182,Amyotrophic lateral sclerosis,Condition,condition_121
133,NCT03944447,Chronic Traumatic Encephalopathy,Chronic Traumatic Encephalopathy,D000070627,T000889970,4047745,Traumatic encephalopathy,Condition,condition_122
134,NCT03944447,Anxiety,Anxiety,D001007,T003092,441542,Anxiety,Condition,condition_123
135,NCT03944447,Depression,Depression,D003863,T011484,440383,Depressive disorder,Condition,condition_124
136,NCT03944447,Insomnia,Sleep Initiation and Maintenance Disorders,D007319,T365809,439708,Disorders of initiating and maintaining sleep,Condition,condition_125
137,NCT03944447,Autism,Autistic Disorder,D001321,T003904,439780,Autistic disorder,Condition,condition_126
138,NCT03944447,Opioid-use Disorder,"Analgesics, Opioid",D000701,T002123,37398751,Opioid analgesic dependence,Condition,condition_127
139,NCT03944447,Bipolar Disorder,Bipolar Disorder,D001714,T004982,436665,Bipolar disorder,Condition,condition_128
140,NCT03944447,Covid19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_10
141,NCT03944447,SARS-CoV Infection,SARS Virus,D045473,T538594,42600286,No virus seen,Condition,condition_129
142,NCT03944447,COVID-19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_5
143,NCT03944447,Corona Virus Infection,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_33
144,NCT03944447,Coronavirus,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_83
145,NCT03944603,Healthy Older Adults Ages 60-89,Health,D006262,T018961,4009883,Well adolescent,Condition,condition_130
146,NCT03963622,ARDS,"Respiration, Artificial",D012121,T036100,4200050,Finding of artificial lens,Condition,condition_131
147,NCT04025580,Healthy Volunteer,Healthy Volunteers,D064368,T837389,4009883,Well adolescent,Condition,condition_132
148,NCT04025580,COVID-19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_5
149,NCT04052607,Infertility,"Infertility, Female",D007247,T021726,201909,Female infertility,Condition,condition_133
150,NCT04061382,Serogroup C Meningococcal Meningitis,Serogroup,D065288,T850479,4013993,Blood group AB,Condition,condition_134
151,NCT04061382,Diphtheria,Diphtheria,D004165,T012655,4088228,Diphtheria of penis,Condition,condition_135
152,NCT04061382,COVID-19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_5
153,NCT04107402,Septic Shock,"Shock, Septic",D012772,T037700,196236,Septic shock,Condition,condition_136
154,NCT04107402,Platelet Signal Processing Defect,Platelet Signal Processing Defect,C566796,T809136,4183439,Filling defect,Condition,condition_137
155,NCT04107402,Inflammatory Response,Inflammatory Response,0,0,434821,Systemic inflammatory response syndrome,Condition,condition_138
156,NCT04107402,Disseminated Intravascular Coagulation,Disseminated Intravascular Coagulation,D004211,T012791,436093,Disseminated intravascular coagulation,Condition,condition_139
157,NCT04107402,Covid19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_10
158,NCT04107402,Neutrophil Extracellular Trap Formation,Extracellular Traps,D065206,T852047,4111940,Extracellular cholesterosis,Condition,condition_140
159,NCT04148430,B Cell ALL,B Cell ALL,0,0,4053345,Cell center alteration,Condition,condition_141
160,NCT04148430,B-Cell Lymphoma,"Lymphoma, B-Cell",D016393,T049001,434592,B-cell lymphoma (clinical),Condition,condition_142
161,NCT04148430,B-cell Non Hodgkin Lymphoma,Hodgkin Disease,D006689,T020222,4038835,Hodgkin's disease (clinical),Condition,condition_143
162,NCT04160975,"Flu, Human","Influenza, Human",D007251,T658127,4266367,Influenza,Condition,condition_144
163,NCT04160975,"Influenza, Human","Influenza, Human",D007251,T658127,4266367,Influenza,Condition,condition_145
164,NCT04160975,Covid19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_10
165,NCT04169542,Breast Ductal Carcinoma In Situ,"Carcinoma, Intraductal, Noninfiltrating",D002285,T006582,36530892,"Intraductal carcinoma, noninfiltrating, NOS, of anal canal",Condition,condition_146
166,NCT04169542,COVID-19 Infection,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_147
167,NCT04169542,Hereditary Breast Carcinoma,"Breast Cancer, Familial",C562840,T801625,4110861,Familial cancer of breast,Condition,condition_148
168,NCT04169542,Invasive Breast Carcinoma,Breast Neoplasms,D001943,T005543,81251,Neoplasm of breast,Condition,condition_149
169,NCT04233268,Lower Respiratory Tract Infection,Respiratory Tract Infections,D012141,T036165,4170143,Respiratory tract infection,Condition,condition_86
170,NCT04233268,Ventilator Associated Pneumonia,"Pneumonia, Ventilator-Associated",D053717,T668065,259992,Ventilator associated pneumonia,Condition,condition_150
171,NCT04233268,COVID19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_10
172,NCT04240886,Invasive Fungal Infections,Invasive Fungal Infections,D000072742,T000901354,36717290,Invasive fungal infection,Condition,condition_151
173,NCT04244591,COVID-19 Infections,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_152
174,NCT04245631,New Coronavirus,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_153
175,NCT04247620,Type 1 Diabetes,"Diabetes Mellitus, Type 1",D003922,T011740,201254,Type 1 diabetes mellitus,Condition,condition_154
176,NCT04251767,COVID-19 Complicated With Refractory Intestinal Infections,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_155
177,NCT04251871,Pneumonia Caused by Human Coronavirus (Disorder),Pneumonia,D011014,T032393,255848,Pneumonia,Condition,condition_156
178,NCT04252118,COVID-19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_5
179,NCT04252274,"Pneumonia, Pneumocystis","Pneumonia, Pneumocystis",D011020,T537780,4190647,Pneumocystosis pneumonia,Condition,condition_157
180,NCT04252274,Coronavirus,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_83
181,NCT04252664,COVID-19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_5
182,NCT04252664,SARS-CoV-2,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_158
183,NCT04252885,Coronavirus Infections,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_159
184,NCT04254874,2019-nCoV,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_160
185,NCT04255017,2019-nCoV,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_160
186,NCT04255940,Cardiovascular Death; Major Adverse Cardiovascular Events,Cardiovascular System,D002319,T006665,134057,Disorder of cardiovascular system,Condition,condition_161
187,NCT04256395,Susceptibility to Viral and Mycobacterial Infection,Mycobacterium Infections,D009164,T027361,432821,Leprosy,Condition,condition_162
188,NCT04257656,COVID-19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_5
189,NCT04257656,Remdesivir,remdesivir,C000606551,T000959343,4122762,Electromechanical dissociation,Condition,condition_163
190,NCT04257656,SARS-CoV-2,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_158
191,NCT04259892,Coronavirus,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_83
192,NCT04260308,Virus; Pneumonia,"Viruses, Unclassified",D014713,T043012,4230257,Unclassified sprue,Condition,condition_164
193,NCT04260594,2019-nCoV,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_160
194,NCT04261270,2019-nCoV Pneumonia,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_165
195,NCT04261426,2019-nCoV,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_160
196,NCT04261517,"Pneumonia, Pneumocystis","Pneumonia, Pneumocystis",D011020,T537780,4190647,Pneumocystosis pneumonia,Condition,condition_157
197,NCT04261517,Coronavirus,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_83
198,NCT04261517,COVID-19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_5
199,NCT04261907,2019-nCoV,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_160
200,NCT04262921,Coronavirus Infections,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_159
201,NCT04263402,2019-nCoV Severe Pneumonia,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_166
202,NCT04264533,Vitamin C,Ascorbic Acid,D001205,T003591,4035839,Increased ascorbic acid,Condition,condition_80
203,NCT04264533,"Pneumonia, Viral","Pneumonia, Viral",D011024,T032427,261326,Viral pneumonia,Condition,condition_167
204,NCT04264533,"Pneumonia, Ventilator-Associated","Ventilators, Mechanical",D012122,T036103,46273427,Mechanical complication of ventilator,Condition,condition_168
205,NCT04264858,2019-nCoV,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_160
206,NCT04264858,Immunoglobulin of Cured Patients,Immunoglobulins,D007136,T021366,4013224,Immunoglobulins normal,Condition,condition_169
207,NCT04268537,"2019 nCoV, PD-1",COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_170
208,NCT04269525,"Pneumonia, Viral","Pneumonia, Viral",D011024,T032427,261326,Viral pneumonia,Condition,condition_167
209,NCT04269525,"Pneumonia, Ventilator-Associated","Ventilators, Mechanical",D012122,T036103,46273427,Mechanical complication of ventilator,Condition,condition_168
210,NCT04270383,2019-nCoV,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_160
211,NCT04272710,2019-nCoV,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_160
212,NCT04273321,COVID-19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_5
213,NCT04273321,Novel Coronavirus Pneumonia,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_171
214,NCT04273529,COVID-19 Thalidomide,Thalidomide,D013792,T040492,4030376,Thalidomide poisoning,Condition,condition_172
215,NCT04273581,COVID-19 Thalidomide,Thalidomide,D013792,T040492,4030376,Thalidomide poisoning,Condition,condition_172
216,NCT04273646,2019 Novel Coronavirus Pneumonia,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_173
217,NCT04273646,COVID-19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_5
218,NCT04273763,Novel Coronavirus Pneumonia,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_171
219,NCT04273763,2019-nCoV,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_160
220,NCT04274322,Critically Ill,Critical Illness,D016638,T049821,432586,Mental disorder,Condition,condition_174
221,NCT04274322,Coronavirus Infections,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_159
222,NCT04275245,Coronavirus Disease 2019 (COVID-19),COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_175
223,NCT04275388,2019 Novel Coronavirus Pneumonia,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_173
224,NCT04275414,Coronavirus Infections,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_159
225,NCT04275947,COVID-19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_5
226,NCT04276688,Novel Coronavirus Infection,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_176
227,NCT04276896,Pathogen Infection Covid-19 Infection,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_177
228,NCT04276987,Coronavirus,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_83
229,NCT04278404,Coronavirus Infection (COVID-19),COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_178
230,NCT04278404,Pulmonary Arterial Hypertension,Pulmonary Arterial Hypertension,D000081029,T000957399,4013643,Pulmonary arterial hypertension,Condition,condition_179
231,NCT04278404,Urinary Tract Infections in Children,Urinary Tract Infections,D014552,T042580,81902,Urinary tract infectious disease,Condition,condition_180
232,NCT04278404,Hypertension,Hypertension,D006973,T020937,316866,Hypertensive disorder,Condition,condition_181
233,NCT04278404,Pain,Pain,D010146,T030048,4329041,Pain,Condition,condition_182
